Real,Large,Large,Flash_R_Tree,LRU,None
Real,Large,Medium,Flash_R_Tree,LRU,None
Real,Large,Small,Flash_R_Tree,LRU,None
Real,Large,Large,Flash_R_Tree_Extended,LRU,None
Real,Large,Medium,Flash_R_Tree_Extended,LRU,None
Real,Large,Small,Flash_R_Tree_Extended,LRU,None
Real,Large,None,R_Star_Tree,LRU,None
Real,Small,Small,Flash_R_Tree,LRU,None
Real,Small,Small,Flash_R_Tree_Extended,LRU,None
Real,Small,Small,R_Star_Tree,LRU,None
Uniform,Large,Large,Flash_R_Tree,LRU,None
Uniform,Large,Medium,Flash_R_Tree,LRU,None
Uniform,Large,Small,Flash_R_Tree,LRU,None
Uniform,Large,Large,Flash_R_Tree_Extended,LRU,None
Uniform,Large,Medium,Flash_R_Tree_Extended,LRU,None
Uniform,Large,Small,Flash_R_Tree_Extended,LRU,None
Uniform,Large,None,R_Star_Tree,LRU,None
Uniform,Small,Small,Flash_R_Tree,LRU,None
Uniform,Small,Small,Flash_R_Tree_Extended,LRU,None
Uniform,Small,Small,R_Star_Tree,LRU,None
